,compound,create_date,negative,neutral,news_media,positive,tweets_ago
63,-0.4754,2017-12-02 10:19:21+00:00,0.147,0.853,nytimes,0.0,-63
64,-0.5574,2017-12-02 10:02:13+00:00,0.286,0.714,nytimes,0.0,-64
65,-0.2263,2017-12-02 09:48:42+00:00,0.174,0.826,nytimes,0.0,-65
66,0.0,2017-12-02 09:30:39+00:00,0.0,1.0,nytimes,0.0,-66
67,0.765,2017-12-02 09:11:02+00:00,0.0,0.708,nytimes,0.292,-67
68,-0.8555,2017-12-02 08:44:20+00:00,0.344,0.656,nytimes,0.0,-68
69,0.0,2017-12-02 08:24:32+00:00,0.0,1.0,nytimes,0.0,-69
70,-0.3818,2017-12-02 08:05:54+00:00,0.206,0.794,nytimes,0.0,-70
71,0.0,2017-12-02 08:02:21+00:00,0.0,1.0,nytimes,0.0,-71
72,-0.8481,2017-12-02 07:53:35+00:00,0.38,0.62,nytimes,0.0,-72
73,-0.4754,2017-12-02 07:34:37+00:00,0.162,0.838,nytimes,0.0,-73
74,0.0,2017-12-02 07:34:37+00:00,0.0,1.0,nytimes,0.0,-74
75,0.34,2017-12-02 07:17:19+00:00,0.0,0.833,nytimes,0.167,-75
76,0.0,2017-12-02 07:00:22+00:00,0.0,1.0,nytimes,0.0,-76
77,0.5859,2017-12-02 06:56:41+00:00,0.0,0.808,nytimes,0.192,-77
78,0.0,2017-12-02 06:45:50+00:00,0.0,1.0,nytimes,0.0,-78
79,0.5574,2017-12-02 06:41:50+00:00,0.0,0.753,nytimes,0.247,-79
80,-0.5106,2017-12-02 06:22:07+00:00,0.248,0.752,nytimes,0.0,-80
81,0.0,2017-12-02 06:06:03+00:00,0.0,1.0,nytimes,0.0,-81
82,0.2023,2017-12-02 05:52:08+00:00,0.0,0.899,nytimes,0.101,-82
83,0.0,2017-12-02 05:34:03+00:00,0.0,1.0,nytimes,0.0,-83
84,0.0,2017-12-02 05:32:05+00:00,0.0,1.0,nytimes,0.0,-84
85,0.2263,2017-12-02 05:19:13+00:00,0.0,0.913,nytimes,0.087,-85
86,0.0,2017-12-02 05:14:09+00:00,0.0,1.0,nytimes,0.0,-86
87,0.1531,2017-12-02 05:02:06+00:00,0.139,0.693,nytimes,0.168,-87
88,-0.5106,2017-12-02 04:48:43+00:00,0.292,0.708,nytimes,0.0,-88
89,0.1027,2017-12-02 04:47:06+00:00,0.089,0.806,nytimes,0.105,-89
90,0.7096,2017-12-02 04:32:07+00:00,0.0,0.688,nytimes,0.312,-90
91,0.2023,2017-12-02 04:25:14+00:00,0.0,0.833,nytimes,0.167,-91
92,0.5994,2017-12-02 04:10:55+00:00,0.0,0.754,nytimes,0.246,-92
93,0.2023,2017-12-02 04:02:28+00:00,0.0,0.886,nytimes,0.114,-93
94,0.0,2017-12-02 03:47:02+00:00,0.0,1.0,nytimes,0.0,-94
95,0.0,2017-12-02 03:32:07+00:00,0.0,1.0,nytimes,0.0,-95
96,0.0,2017-12-02 03:17:03+00:00,0.0,1.0,nytimes,0.0,-96
97,-0.5106,2017-12-02 03:02:04+00:00,0.193,0.807,nytimes,0.0,-97
98,-0.25,2017-12-02 02:47:01+00:00,0.155,0.747,nytimes,0.098,-98
99,0.0,2017-12-02 02:31:10+00:00,0.0,1.0,nytimes,0.0,-99
0,-0.4215,2017-12-03 00:15:11+00:00,0.149,0.851,CNN,0.0,0
1,0.4019,2017-12-03 00:00:15+00:00,0.0,0.863,CNN,0.137,-1
2,0.0,2017-12-02 23:45:06+00:00,0.0,1.0,CNN,0.0,-2
3,-0.4222,2017-12-02 23:35:02+00:00,0.127,0.82,CNN,0.053,-3
4,-0.5859,2017-12-02 23:30:11+00:00,0.286,0.714,CNN,0.0,-4
5,0.0,2017-12-02 23:15:04+00:00,0.0,1.0,CNN,0.0,-5
6,-0.1027,2017-12-02 23:00:16+00:00,0.069,0.931,CNN,0.0,-6
